Тип жилья,Кол-во комнат,Станция метро,Время в пути,Этаж,Общая площадь комнат,Наличие ремонта,Год постройки,Срок сдачи,Тип дома,Цена
Вторичка,5-комн,Александровский сад,2 мин. пешком,2,242,Дизайнерский,1900,,Кирпичный,177 670 080 
Вторичка,4-комн,Арбатская,14 мин. пешком,3,"216,7",Евроремонт,1947,,Кирпичный,104 942 640 
Вторичка,3-комн,Смоленская,5 мин. пешком,8,"105,9",Евроремонт,2000,,Монолитный,53 000 000 
Вторичка,4-комн,Юго-Западная,6 мин. на транспорте,13,140,Без ремонта,2010,,Монолитный,30 500 000 
Вторичка,4-комн,Курская,5 мин. пешком,2,"82,4",,1938,,Кирпичный,25 500 000 
Вторичка,2-комн,Автозаводская,10 мин. пешком,6,"64,6",,1956,,,11 500 000 
Вторичка,4-комн,Севастопольская,10 мин. пешком,16,140,Дизайнерский,2004,,Монолитный,30 000 000 
Вторичка,3-комн,ВДНХ,5 мин. на транспорте,14,66,Косметический,1979,,Панельный,12 200 000 
Вторичка,2-комн,Академическая,10 мин. пешком,10,"52,3",Косметический,1960,,Кирпичный,15 000 000 
Вторичка,3-комн,Пушкинская,14 мин. пешком,2,110,Евроремонт,2003,,Кирпичный,57 900 000 
Вторичка,2-комн,Варшавская,12 мин. пешком,7,45,Косметический,1961,,Кирпичный,9 000 000 
Вторичка,3-комн,Нагатинская,14 мин. пешком,33,102,Дизайнерский,2012,,Монолитный,22 400 000 
Вторичка,4-комн,Академическая,7 мин. пешком,5,96,Без ремонта,,,,16 000 000 
Вторичка,3-комн,Лубянка,5 мин. пешком,4,"133,8",Евроремонт,1898,,Монолитный,168 152 040 
Вторичка,Многокомнатная квартира,Дубровка,12 мин. пешком,3,130,Без ремонта,1937,,Кирпичный,20 490 000 
Вторичка Апартаменты,2-комн,Лубянка,3 мин. пешком,2,87,,,,,94 000 000 
Вторичка,2-комн,Красные ворота,5 мин. пешком,2,77,Евроремонт,2001,,Кирпичный,42 000 000 
Вторичка,2-комн,Ленинский проспект,7 мин. пешком,3,44,,1962,,Кирпичный,8 600 000 
Вторичка,3-комн,Парк Победы,23 мин. пешком,4,105,Без ремонта,2011,,Монолитный,40 000 000 
Вторичка,4-комн,Боровицкая,4 мин. пешком,4,"99,5",Косметический,1886,,Кирпичный,35 000 000 
Вторичка,4-комн,Лубянка,5 мин. пешком,2,"126,6",Без ремонта,1898,,Монолитный,75 000 000 
Вторичка,3-комн,Бульвар Дмитрия Донского,5 мин. пешком,4,140,Евроремонт,1995,,Панельный,21 000 000 
Вторичка,4-комн,Парк Победы,23 мин. пешком,8,147,Без ремонта,2011,,Монолитный,52 000 000 
Вторичка,5-комн,Кропоткинская,4 мин. пешком,7,201,Дизайнерский,1914,,Кирпичный,79 317 000 
Вторичка,2-комн,Кузьминки,15 мин. пешком,3,"56,3",,1996,,Панельный,9 490 000 
Вторичка,5-комн,Улица Скобелевская,6 мин. пешком,7,"120,5",Дизайнерский,2000,,Панельный,17 600 000 
Вторичка,3-комн,Курская,10 мин. пешком,4,209,Дизайнерский,2012,,Монолитный,190 360 800 
Вторичка,4-комн,Полянка,5 мин. пешком,6,217,Без ремонта,2005,,Кирпичный,120 498 386 
Вторичка,5-комн,Китай-город,7 мин. пешком,5,170,Евроремонт,1893,,Монолитный,85 000 000 
Вторичка,4-комн,Спортивная,8 мин. на транспорте,10,"194,2",Без ремонта,2009,,Монолитный,145 000 000 
Вторичка,3-комн,Парк Победы,5 мин. на транспорте,47,160,Евроремонт,2011,,Монолитный,145 943 280 
Вторичка,4-комн,Таганская,4 мин. на транспорте,4,"128,72",Без ремонта,,,,61 142 000 
Вторичка,2-комн,Кутузовская,22 мин. пешком,15,85,Евроремонт,,,,39 890 000 
Вторичка,3-комн,Таганская,4 мин. на транспорте,2,"101,16",Без ремонта,,,,46 500 000 
Вторичка,2-комн,Аэропорт,15 мин. пешком,1,"46,3",Косметический,1960,,Кирпичный,8 000 000 
Вторичка,4-комн,ЦСКА,5 мин. пешком,12,"143,15",Дизайнерский,2007,,Монолитный,50 000 000 
Вторичка,1-комн,Бибирево,11 мин. пешком,2,"38,4",Косметический,1981,,Панельный,7 500 000 
Вторичка,3-комн,ЦСКА,5 мин. пешком,4,140,Евроремонт,2004,,Монолитный,39 900 000 
Вторичка Апартаменты,2-комн,Бауманская,4 мин. пешком,3,"72,4",Дизайнерский,2015,,Монолитный,29 600 000 
Вторичка,4-комн,Боровицкая,5 мин. пешком,6,125,Евроремонт,1911,,Кирпичный,53 000 000 
Вторичка,3-комн,Бибирево,13 мин. пешком,1,66,Косметический,1976,,Панельный,8 900 000 
Вторичка Апартаменты,2-комн,Новокузнецкая,10 мин. пешком,2,43,Без ремонта,,,,28 500 000 
Новостройка Апартаменты,4-комн,Автозаводская,5 мин. пешком,15,"127,85",,,2019,,37 332 200 
Вторичка Апартаменты,2-комн,Лубянка,3 мин. пешком,2,87,Евроремонт,2015,,Монолитный,94 000 000 
Вторичка,3-комн,Тушинская,10 мин. на транспорте,3,160,Дизайнерский,2005,,Монолитный,57 900 000 
Вторичка,2-комн,Алтуфьево,5 мин. на транспорте,19,45,Косметический,2006,,Монолитный,8 700 000 
Вторичка,3-комн,Арбатская,6 мин. пешком,6,206,Дизайнерский,2012,,Монолитный,222 087 600 
Новостройка Апартаменты,4-комн,Автозаводская,5 мин. пешком,16,"236,35",,,2019,,72 323 100 
Вторичка,1-комн,Багратионовская,7 мин. пешком,6,52,Евроремонт,2015,,Монолитный,17 160 000 
Вторичка,4-комн,Парк Победы,23 мин. пешком,41,108,Дизайнерский,2011,,Монолитный,71 233 792 
Вторичка,2-комн,Парк Победы,23 мин. пешком,27,100,Дизайнерский,2011,,Монолитный,52 500 000 
Вторичка,3-комн,Парк Победы,23 мин. пешком,47,163,Дизайнерский,2011,,Монолитный,164 979 360 
Вторичка,2-комн,Красные ворота,6 мин. пешком,2,77,Евроремонт,2001,,Кирпичный,42 000 000 
Вторичка,1-комн,Кузьминки,7 мин. пешком,12,"40,1",Евроремонт,2008,,Панельный,9 500 000 
Вторичка,5-комн,Белорусская,4 мин. пешком,7,360,Дизайнерский,2008,,Монолитный,291 886 560 
Вторичка,5-комн,Крылатское,15 мин. пешком,3,171,Дизайнерский,2002,,Монолитный,48 900 000 
Вторичка Апартаменты,3-комн,Лубянка,,2,"105,8",,2015,,Монолитный,133 252 560 
Вторичка,5-комн,Комсомольская,,4,150,Дизайнерский,1920,,Кирпичный,42 000 000 
Вторичка,3-комн,Чистые пруды,,7,"97,2",Без ремонта,2009,,Монолитный,62 000 000 
Вторичка,3-комн,Новые Черемушки,21 мин. пешком,12,"114,5",Дизайнерский,2008,,Панельный,28 500 000 
Вторичка,3-комн,Филевский парк,11 мин. пешком,4,87,Без ремонта,,,,21 700 000 
Вторичка Апартаменты,2-комн,ЗИЛ,10 мин. пешком,3,43,Без ремонта,,,,5 900 000 
Вторичка,3-комн,Студенческая,4 мин. пешком,10,173,Евроремонт,2007,,Монолитный,66 300 000 
Вторичка,4-комн,Кропоткинская,3 мин. пешком,2,155,Косметический,1909,,Панельный,54 700 000 
Вторичка,4-комн,Кропоткинская,7 мин. пешком,9,"127,3",Косметический,1933,,Кирпичный,49 990 000 
Вторичка,3-комн,Каховская,5 мин. пешком,4,"123,8",Без ремонта,2010,,Монолитный,23 370 000 
Вторичка,3-комн,Серпуховская,9 мин. пешком,7,75,Евроремонт,2013,,Кирпичный,49 500 000 
Вторичка,4-комн,Кунцевская,10 мин. пешком,18,"189,5",Дизайнерский,2001,,Монолитный,67 900 000 
Вторичка,3-комн,Филевский парк,11 мин. пешком,22,"91,7",Без ремонта,,,,24 500 000 
Вторичка,2-комн,Электрозаводская,25 мин. пешком,5,82,Без ремонта,2016,,Монолитный,16 900 000 
Вторичка Апартаменты,Апартаменты-студия,Владыкино,7 мин. пешком,4,"17,9",Косметический,,,Кирпичный,3 043 000 
Вторичка Апартаменты,Апартаменты-студия,Владыкино,7 мин. пешком,5,"19,4",Косметический,,,Кирпичный,3 298 000 
Вторичка Апартаменты,1-комн,Владыкино,7 мин. пешком,3,"22,1",Косметический,,,,3 757 000 
Вторичка Апартаменты,Апартаменты-студия,Владыкино,7 мин. пешком,1,"19,8",Косметический,,,Кирпичный,3 366 000 
Вторичка Пентхаус,Многокомнатная квартира,Охотный ряд,6 мин. пешком,7,"296,4",Без ремонта,,,,338 537 646 
Вторичка,4-комн,Кузнецкий мост,8 мин. пешком,2,"255,9",Дизайнерский,2005,,Монолитный,337 890 420 
Вторичка,3-комн,Парк Победы,23 мин. пешком,40,100,Без ремонта,2011,,Монолитный,56 000 000 
Вторичка,4-комн,Студенческая,5 мин. пешком,2,"113,2",Евроремонт,1937,,Кирпичный,23 500 000 
Вторичка,1-комн,Пролетарская,13 мин. пешком,4,36,Дизайнерский,1958,,Кирпичный,8 800 000 
Новостройка Апартаменты,2-комн,Алексеевская,4 мин. пешком,12,"75,97",,,2020,,24 893 838 
Новостройка Апартаменты,1-комн,Алексеевская,4 мин. пешком,13,"51,68",,,2020,,19 798 245 
Новостройка Апартаменты,3-комн,Алексеевская,4 мин. пешком,14,"124,03",,,2020,,48 136 900 
Новостройка,Студия,Отрадное,3 мин. на транспорте,24,"19,9",,,2019,Панельный,5 842 640 
Новостройка,1-комн,Отрадное,3 мин. на транспорте,24,40,,,2019,,9 148 000 
Новостройка,3-комн,Братиславская,6 мин. на транспорте,2,"68,3",,,2021,,10 436 240 
Новостройка,1-комн,Домодедовская,2 мин. на транспорте,1,"41,4",,,2020,Монолитный,7 683 840 
Новостройка,Студия,Медведково,2 мин. на транспорте,2,"23,7",,,2020,Монолитный,5 794 650 
Новостройка,2-комн,Медведково,2 мин. на транспорте,15,"60,4",,,2020,,11 065 280 
Новостройка,Студия,Авиамоторная,10 мин. пешком,16,"20,6",,,2020,Монолитный,7 543 720 
Новостройка,1-комн,Домодедовская,2 мин. на транспорте,1,"35,8",,,2021,Монолитный,6 902 240 
Новостройка,1-комн,Авиамоторная,10 мин. пешком,2,"35,9",,,2021,,9 800 700 
Вторичка Апартаменты,Апартаменты-студия,Битцевский парк,15 мин. пешком,1,14,Без ремонта,,,Панельный,3 000 000 
Новостройка,Студия,Домодедовская,2 мин. на транспорте,1,"32,3",,,2020,Монолитный,7 674 480 
Вторичка,2-комн,Коломенская,19 мин. пешком,2,37,Косметический,1965,,Кирпичный,7 800 000 
Вторичка,3-комн,Каховская,6 мин. пешком,7,116,Без ремонта,2010,,Монолитный,22 690 000 
Новостройка,3-комн,Динамо,12 мин. пешком,2,"73,6",,,2020,,25 251 144 
Вторичка,1-комн,Крестьянская застава,10 мин. пешком,1,31,Косметический,1963,,,7 500 000 
Вторичка,3-комн,Филевский парк,7 мин. пешком,15,123,Косметический,2007,,Монолитный,50 000 000 
Вторичка,3-комн,Парк Победы,23 мин. пешком,47,161,Дизайнерский,2011,,Монолитный,139 597 920 
Вторичка,3-комн,Ботанический сад,3 мин. пешком,6,85,Евроремонт,2016,,Монолитный,24 000 000 
Новостройка,2-комн,Отрадное,3 мин. на транспорте,2,"55,1",,,2021,,9 278 840 
Новостройка,2-комн,Измайловская,2 мин. на транспорте,4,"69,32",,,2021,,12 942 044 
Вторичка,3-комн,Парк Победы,23 мин. пешком,9,151,Дизайнерский,2011,,Монолитный,95 180 400 
Новостройка,Студия,Медведково,2 мин. на транспорте,15,"19,9",,,2020,Монолитный,5 367 030 
Новостройка,4-комн,Белорусская,10 мин. пешком,2,"158,9",,,2021,,62 236 363 
Новостройка,1-комн,Белорусская,10 мин. пешком,13,"94,1",,,2021,,55 041 913 
Новостройка,1-комн,Домодедовская,2 мин. на транспорте,8,"34,5",,,2020,Монолитный,7 690 050 
Новостройка,1-комн,Домодедовская,2 мин. на транспорте,1,"44,8",,,2021,Монолитный,8 131 200 
Новостройка Апартаменты,2-комн,Красносельская,11 мин. пешком,2,57,,,2019,,14 820 000 
Новостройка Апартаменты,3-комн,Красносельская,11 мин. пешком,3,"69,5",,,2019,,16 680 000 
Новостройка Апартаменты,3-комн,Красносельская,11 мин. пешком,4,68,,,2019,,16 320 000 
Новостройка Апартаменты,3-комн,Красносельская,11 мин. пешком,5,"87,6",,,2019,,24 528 000 
Новостройка,3-комн,Белорусская,10 мин. пешком,3,"126,6",,,2021,,62 637 882 
Вторичка,4-комн,Кропоткинская,6 мин. пешком,4,165,Дизайнерский,2000,,Кирпичный,89 000 000 
Вторичка,4-комн,Дубровка,5 мин. пешком,7,100,Дизайнерский,2012,,,29 900 000 
Вторичка,3-комн,Охотный ряд,8 мин. пешком,9,78,Евроремонт,1956,,Кирпичный,44 417 520 
Вторичка,3-комн,ВДНХ,,9,193,Дизайнерский,2009,,Монолитный,84 500 000 
Вторичка,5-комн,Нагатинская,10 мин. пешком,17,202,Без ремонта,2012,,Монолитный,25 900 000 
Вторичка,5-комн,Парк Победы,29 мин. пешком,40,"152,4",Без ремонта,2011,,Монолитный,70 000 000 
Вторичка,4-комн,Парк Победы,29 мин. пешком,11,130,Без ремонта,2011,,Монолитный,49 800 000 
Новостройка,4-комн,Белорусская,10 мин. пешком,7,"192,7",,,2021,,171 564 664 
Новостройка,4-комн,Белорусская,10 мин. пешком,7,"196,6",,,2021,,178 966 946 
Вторичка,4-комн,Арбатская,5 мин. пешком,5,143,Дизайнерский,1914,,,88 835 040 
Вторичка,2-комн,Аннино,7 мин. пешком,15,"58,4",Евроремонт,2019,,,13 300 000 
Вторичка Апартаменты,3-комн,Бауманская,12 мин. пешком,1,54,Дизайнерский,,,,18 000 000 
Вторичка,2-комн,Фрунзенская,10 мин. пешком,7,60,Дизайнерский,1958,,Кирпичный,34 000 000 
Вторичка,2-комн,Волгоградский проспект,10 мин. на транспорте,11,"38,7",Евроремонт,1967,,Кирпичный,8 900 000 
Вторичка,3-комн,Парк Победы,29 мин. пешком,21,150,Дизайнерский,2011,,Монолитный,139 597 920 
Вторичка,2-комн,Парк Победы,29 мин. пешком,5,63,Дизайнерский,2011,,Монолитный,44 000 000 
Вторичка,2-комн,Парк Победы,29 мин. пешком,10,62,Без ремонта,2011,,Монолитный,23 000 000 
Новостройка,1-комн,Авиамоторная,10 мин. пешком,20,"39,1",,,2021,,10 158 180 
Вторичка Апартаменты,2-комн,Лубянка,3 мин. пешком,4,109,Евроремонт,2015,,Монолитный,117 579 520 
Вторичка,3-комн,Беговая,7 мин. на транспорте,2,114,Без ремонта,2017,,Монолитный,42 850 000 
Вторичка,5-комн,Чистые пруды,,6,220,Без ремонта,2009,,Монолитный,143 785 857 
Новостройка,1-комн,Авиамоторная,10 мин. пешком,2,"39,6",,,2021,,9 951 480 
Вторичка,4-комн,Выставочная,4 мин. на транспорте,10,153,Без ремонта,,,,79 000 000 
Вторичка,1-комн,Бунинская аллея,15 мин. пешком,16,43,Евроремонт,2015,,Панельный,7 300 000 
Новостройка Апартаменты,3-комн,Международная,6 мин. пешком,59,"81,5",,,2019,,41 402 000 
Вторичка,1-комн,Новогиреево,12 мин. пешком,6,33,Косметический,1972,,Панельный,5 850 000 
Вторичка,3-комн,Курская,10 мин. пешком,2,89,,2012,,Монолитный,69 999 000 
Новостройка Апартаменты,2-комн,Международная,6 мин. пешком,40,"67,12",,,2020,,27 928 632 
Новостройка Апартаменты,4-комн,Международная,6 мин. пешком,46,"209,57",,,2020,,89 989 358 
Новостройка Апартаменты,1-комн,Международная,6 мин. пешком,46,"50,69",,,2020,,22 729 396 
Новостройка Апартаменты,3-комн,Международная,6 мин. пешком,57,"101,9",,,2020,,46 756 815 
Новостройка Апартаменты,2-комн,Алексеевская,4 мин. пешком,8,"59,38",,,2020,,14 835 523 
Вторичка,3-комн,Чертановская,9 мин. пешком,3,65,Косметический,1973,,Панельный,11 300 000 
Вторичка,1-комн,Каховская,5 мин. пешком,27,"44,7",Без ремонта,2010,,Монолитный,10 791 000 
Вторичка,2-комн,Нахимовский проспект,16 мин. пешком,6,56,Дизайнерский,1961,,Кирпичный,10 250 000 
Вторичка,4-комн,Кропоткинская,6 мин. пешком,5,"234,9",Дизайнерский,1915,,Кирпичный,145 000 000 
Вторичка Апартаменты,3-комн,Водный стадион,5 мин. пешком,4,"65,7",Евроремонт,2015,,Монолитный,14 000 000 
Вторичка,3-комн,Чистые пруды,5 мин. пешком,3,92,Евроремонт,1912,,Кирпичный,50 000 000 
Вторичка,3-комн,Каховская,5 мин. пешком,4,"128,5",Без ремонта,2010,,Монолитный,23 800 000 
Вторичка Апартаменты,2-комн,ЗИЛ,10 мин. пешком,2,43,Без ремонта,,,,5 000 000 
Новостройка Апартаменты,3-комн,Фрунзенская,10 мин. пешком,2,"160,51",,,2020,,69 205 034 
Новостройка Апартаменты,1-комн,Фрунзенская,10 мин. пешком,2,"85,32",,,2020,,33 494 267 
Новостройка Апартаменты,1-комн,Фрунзенская,10 мин. пешком,3,"83,51",,,2020,,34 436 461 
Вторичка,3-комн,ЦСКА,4 мин. пешком,6,70,Евроремонт,2006,,Монолитный,26 500 000 
Вторичка,3-комн,Таганская,1 мин. пешком,9,120,Евроремонт,2007,,,59 800 000 
Вторичка,2-комн,Бунинская аллея,8 мин. пешком,5,54,Косметический,2001,,Панельный,9 500 000 
Вторичка,4-комн,Сокол,11 мин. пешком,3,166,Дизайнерский,2006,,,89 000 000 
Новостройка,Квартира свободной планировки,Дмитровская,11 мин. пешком,36,"90,3",,,2018,Монолитный,20 451 981 
Новостройка,3-комн,Дмитровская,11 мин. пешком,38,"89,8",,2018,2018,Монолитный,20 465 932 
Новостройка Апартаменты,Апартаменты свободной планировки,Дмитровская,11 мин. пешком,39,"65,5",,,2018,Монолитный,13 555 413 
Вторичка,3-комн,Беговая,9 мин. пешком,3,"94,3",Евроремонт,2010,,Монолитный,26 000 000 
Вторичка,1-комн,Боровицкая,4 мин. пешком,2,"26,5",Евроремонт,1866,,Кирпичный,18 000 000 
Вторичка,5-комн,Охотный ряд,6 мин. пешком,4,140,Без ремонта,,,,62 000 000 
Вторичка Апартаменты,3-комн,Лубянка,3 мин. пешком,2,125,Евроремонт,2015,,Монолитный,181 264 560 
Новостройка Апартаменты,1-комн,Бауманская,2 мин. пешком,2,"68,13",,,2020,,17 372 420 
Новостройка Апартаменты,1-комн,Бауманская,2 мин. пешком,2,"60,11",,,2020,,17 217 599 
Новостройка Апартаменты,2-комн,Бауманская,2 мин. пешком,4,"90,23",,,2020,,24 113 314 
Новостройка Апартаменты,1-комн,Бауманская,2 мин. пешком,6,"55,1",,,2020,,17 620 394 
Вторичка,5-комн,Красные ворота,15 мин. пешком,4,"149,5",Евроремонт,1920,,Кирпичный,40 408 744 
Вторичка,3-комн,Люблино,2 мин. пешком,6,58,Без ремонта,1970,,Панельный,8 300 000 
Вторичка Пентхаус,5-комн,Беговая,7 мин. на транспорте,8,280,Без ремонта,2017,,Монолитный,144 990 000 
Вторичка Апартаменты,Апартаменты-студия,Владыкино,3 мин. пешком,5,19,Косметический,,,Панельный,3 135 000 
Вторичка Апартаменты,Апартаменты-студия,Владыкино,3 мин. пешком,11,21,Косметический,,,Панельный,3 087 000 
Вторичка Апартаменты,Апартаменты-студия,Владыкино,3 мин. пешком,12,23,Косметический,,,,3 795 000 
Вторичка,5-комн,Баррикадная,15 мин. пешком,8,252,Без ремонта,2010,,Монолитный,143 627 223 
Новостройка,2-комн,Водный стадион,6 мин. пешком,14,47,,,2021,,9 626 921 
Новостройка,3-комн,Водный стадион,6 мин. пешком,9,"87,3",,,2021,,15 789 689 
Новостройка,3-комн,Водный стадион,6 мин. пешком,21,"77,4",,,2021,,15 425 684 
Вторичка,1-комн,Беляево,14 мин. пешком,18,"37,3",Евроремонт,1990,,Панельный,9 200 000 
Вторичка Апартаменты,1-комн,Владыкино,3 мин. пешком,13,21,Косметический,,,,3 570 000 
Вторичка Апартаменты,Апартаменты свободной планировки,Владыкино,3 мин. пешком,10,21,Косметический,,,Панельный,3 570 000 
Вторичка Апартаменты,Апартаменты свободной планировки,Владыкино,3 мин. пешком,9,"18,3",Косметический,,,Панельный,3 019 500 
Вторичка,4-комн,Арбатская,4 мин. пешком,4,170,Евроремонт,1927,,Кирпичный,97 450 000 
Вторичка,1-комн,Люблино,7 мин. на транспорте,8,40,Косметический,2007,,Панельный,6 350 000 
Новостройка,2-комн,Измайловская,2 мин. на транспорте,2,"61,97",,,2021,,12 059 362 
Вторичка Апартаменты,2-комн,Красные ворота,11 мин. пешком,9,57,Евроремонт,2018,,Монолитный,24 000 000 
Вторичка,5-комн,Красные ворота,,4,160,Дизайнерский,1913,,Монолитный,100 000 000 
Вторичка,4-комн,Охотный ряд,7 мин. пешком,5,160,Евроремонт,1892,,Кирпичный,118 870 000 
Вторичка,4-комн,Арбатская,,1,170,Дизайнерский,2006,,,222 087 600 
Вторичка Пентхаус,Многокомнатная квартира,Арбатская,5 мин. пешком,7,226,Евроремонт,2006,,Монолитный,175 000 000 
Вторичка,4-комн,Таганская,5 мин. пешком,8,104,Косметический,,,,30 900 000 
Вторичка,1-комн,Каховская,7 мин. пешком,27,"44,7",Без ремонта,2010,,Монолитный,10 791 589 
Вторичка,1-комн,Каховская,7 мин. пешком,7,46,Без ремонта,2010,,Монолитный,10 551 364 
Вторичка,1-комн,Каховская,7 мин. пешком,7,"59,6",Без ремонта,2010,,Монолитный,12 554 894 
Вторичка,1-комн,Каховская,7 мин. пешком,16,"47,6",Без ремонта,2010,,Монолитный,10 962 429 
Вторичка,2-комн,Багратионовская,7 мин. пешком,6,52,Без ремонта,2015,,Монолитный,17 100 000 
Новостройка,4-комн,Динамо,12 мин. пешком,27,"138,4",,,2020,,52 236 094 
Вторичка,1-комн,Боровицкая,7 мин. пешком,1,35,Евроремонт,1933,,Кирпичный,21 500 000 
Новостройка,Студия,Авиамоторная,10 мин. пешком,2,"24,6",,,2021,Монолитный,7 549 740 
Вторичка,2-комн,Баррикадная,10 мин. пешком,7,93,Дизайнерский,2008,,Монолитный,59 990 000 
Новостройка,3-комн,Белорусская,10 мин. пешком,9,"140,5",,,2021,,68 702 252 
Новостройка Апартаменты,3-комн,Красносельская,11 мин. пешком,4,"84,5",,,2019,,20 280 000 
Вторичка,2-комн,Алексеевская,5 мин. пешком,6,63,Евроремонт,1955,,Кирпичный,16 700 000 
Вторичка,3-комн,Чистые пруды,5 мин. пешком,3,91,Без ремонта,1909,,Кирпичный,29 500 000 
Вторичка,5-комн,Кропоткинская,2 мин. пешком,6,406,Евроремонт,1909,,Панельный,158 634 000 
Вторичка Пентхаус,4-комн,Курская,9 мин. пешком,11,795,Дизайнерский,2009,,Монолитный,385 000 000 
Вторичка,3-комн,Улица 1905 года,10 мин. пешком,10,105,Косметический,2016,,Монолитный,64 900 000 
Вторичка,2-комн,Марксистская,8 мин. пешком,11,"53,3",Без ремонта,1984,,Панельный,13 000 000 
Новостройка Апартаменты,Апартаменты свободной планировки,Бауманская,6 мин. пешком,5,"182,2",,,2015,Монолитный,61 518 990 
Новостройка Апартаменты,Апартаменты свободной планировки,Бауманская,6 мин. пешком,5,"78,1",,,2015,Монолитный,31 240 000 
Новостройка Апартаменты,Апартаменты свободной планировки,Бауманская,6 мин. пешком,3,"159,3",,,2015,Монолитный,47 471 400 
Новостройка Апартаменты,3-комн,Белорусская,11 мин. пешком,4,"121,9",,2016,2016,Монолитный,41 561 000 
Новостройка Апартаменты,3-комн,Белорусская,11 мин. пешком,5,"96,5",,2016,2016,Монолитный,42 460 000 
Новостройка Апартаменты,2-комн,Белорусская,11 мин. пешком,4,"96,7",,2016,2016,Монолитный,45 791 000 
Вторичка,4-комн,Киевская,7 мин. на транспорте,2,215,Без ремонта,,,,174 999 999 
Вторичка,3-комн,Каховская,7 мин. пешком,4,"121,2",Без ремонта,2010,,Монолитный,23 116 779 
Вторичка,5-комн,Каховская,7 мин. пешком,25,"186,7",Без ремонта,2010,,Монолитный,38 534 599 
Вторичка,3-комн,Каховская,7 мин. пешком,11,"122,3",Без ремонта,2010,,Монолитный,24 135 599 
Вторичка,4-комн,Каховская,7 мин. пешком,11,"183,43",Без ремонта,2010,,Монолитный,34 916 322 
Вторичка,4-комн,Арбатская,8 мин. пешком,4,143,Дизайнерский,1900,,Кирпичный,75 000 000 
Вторичка,1-комн,Царицыно,10 мин. пешком,3,"34,5",Косметический,1966,,Блочный,6 350 000 
Вторичка,5-комн,Чкаловская,,3,242,Дизайнерский,1917,,Кирпичный,158 634 000 
Вторичка,3-комн,Пролетарская,10 мин. пешком,8,95,Евроремонт,1958,,Кирпичный,22 500 000 
Вторичка Апартаменты,3-комн,Бауманская,5 мин. пешком,4,70,Дизайнерский,2015,,Монолитный,23 400 000 
Вторичка Апартаменты,3-комн,Красносельская,7 мин. пешком,4,70,Дизайнерский,2015,,Монолитный,23 400 000 
Вторичка,3-комн,Таганская,5 мин. пешком,1,"72,3",Косметический,1957,,Кирпичный,18 000 000 
Вторичка Апартаменты,2-комн,Новокузнецкая,10 мин. пешком,2,"64,75",Без ремонта,,,,40 900 000 
Вторичка,2-комн,Бунинская аллея,17 мин. пешком,11,"60,9",Косметический,,,,9 200 000 
Новостройка,3-комн,Белорусская,10 мин. пешком,9,131,,,2021,,68 349 250 
Вторичка,2-комн,Кузьминки,7 мин. пешком,18,55,Косметический,2005,,Панельный,11 200 000 
Вторичка,5-комн,Лубянка,4 мин. пешком,3,"171,5",,1898,,Монолитный,120 000 000 
Вторичка Апартаменты,Апартаменты свободной планировки,ЗИЛ,10 мин. пешком,2,59,Без ремонта,,,Монолитно кирпичный,6 990 000 
Вторичка Апартаменты,Апартаменты свободной планировки,ЗИЛ,10 мин. пешком,2,45,Без ремонта,,,Монолитно кирпичный,5 700 000 
Вторичка,4-комн,Крестьянская застава,8 мин. пешком,9,120,Косметический,1938,,Кирпичный,34 500 000 
Вторичка,5-комн,Воробьевы горы,15 мин. пешком,6,133,,1957,,Кирпичный,97 000 000 
Новостройка Апартаменты,4-комн,Бауманская,6 мин. пешком,3,146,,2015,2015,Монолитный,47 537 600 
Вторичка,4-комн,Лубянка,8 мин. пешком,5,106,Евроремонт,1917,,Монолитный,37 900 000 
Вторичка,3-комн,Войковская,,3,120,Дизайнерский,2005,,Монолитный,62 000 000 
Новостройка Пентхаус,2-комн,Войковская,3 мин. на транспорте,11,76,,1957,2021,Кирпичный,16 920 000 
Вторичка,3-комн,Новые Черемушки,24 мин. пешком,21,95,Без ремонта,2017,,Монолитный,23 850 000 
Вторичка,2-комн,Новые Черемушки,24 мин. пешком,18,90,Без ремонта,2017,,Монолитный,22 415 000 
Вторичка,3-комн,Воробьевы горы,10 мин. пешком,3,"116,3",Дизайнерский,2004,,Монолитный,66 626 280 
Вторичка,1-комн,Кантемировская,7 мин. пешком,2,"32,7",,1968,,Кирпичный,6 600 000 
Новостройка,3-комн,Ботанический сад,3 мин. на транспорте,43,"139,1",,,2015,,25 042 506 
Новостройка Апартаменты,1-комн,Ботанический сад,3 мин. на транспорте,30,"64,6",,2016,2015,Монолитный,14 269 083 
Новостройка Апартаменты,1-комн,Ботанический сад,3 мин. на транспорте,35,"64,1",,2016,2015,Монолитный,14 220 853 
Новостройка Апартаменты,2-комн,Ботанический сад,3 мин. на транспорте,34,104,,2016,2015,Монолитный,19 693 037 
Новостройка Апартаменты,1-комн,Ботанический сад,3 мин. на транспорте,30,"69,4",,2016,2015,Монолитный,14 999 662 
Новостройка Апартаменты,1-комн,Ботанический сад,3 мин. на транспорте,36,"68,2",,2016,2015,Монолитный,15 308 799 
Новостройка Апартаменты,1-комн,Арбатская,10 мин. пешком,12,"53,5",,,2020,,29 276 403 
Новостройка Апартаменты,1-комн,Арбатская,10 мин. пешком,12,"55,6",,,2020,,32 679 317 
