Тип жилья,Кол-во комнат,Станция метро,Время в пути,Этаж,Общая площадь комнат,Наличие ремонта,Год постройки,Срок сдачи,Тип дома,Цена
Вторичка,1-комн,Балтийская,3 мин. пешком,9,"31,84",Дизайнерский,1963,,Блочный,8 300 000 
Вторичка,1-комн,Домодедовская,18 мин. пешком,9,35,Косметический,1977,,,6 900 000 
Вторичка,2-комн,Варшавская,2 мин. пешком,3,"48,9",Без ремонта,1976,,Кирпичный,9 000 000 
Новостройка,2-комн,Измайловская,2 мин. на транспорте,3,"64,19",,,2020,Монолитный,12 890 976 
Новостройка,3-комн,Измайловская,2 мин. на транспорте,3,"64,19",,,2020,Монолитный,12 890 976 
Вторичка Апартаменты,3-комн,Калужская,17 мин. пешком,15,"65,7",Косметический,2018,,Монолитный,12 800 000 
Вторичка,3-комн,Коломенская,15 мин. пешком,2,70,Дизайнерский,2007,,Монолитный,15 850 000 
Вторичка,2-комн,Лианозово,10 мин. пешком,13,"53,7",Евроремонт,2006,,Кирпичный,10 050 000 
Вторичка,1-комн,Бульвар Дмитрия Донского,9 мин. пешком,1,"36,2",Без ремонта,1977,,Панельный,5 900 000 
Вторичка,2-комн,Измайловская,3 мин. пешком,3,41,Евроремонт,,,,8 400 000 
Вторичка,1-комн,Калужская,20 мин. пешком,8,"54,8",Без ремонта,2017,,Монолитный,15 025 315 
Вторичка,2-комн,Калужская,20 мин. пешком,2,86,Без ремонта,2017,,Монолитный,21 699 930 
Вторичка,2-комн,Калужская,20 мин. пешком,3,"86,1",Без ремонта,2017,,Монолитный,21 940 263 
Вторичка,4-комн,Калужская,20 мин. пешком,13,"152,5",Без ремонта,2017,,Монолитный,40 803 538 
Вторичка,3-комн,Крылатское,10 мин. на транспорте,17,"101,8",,2002,,Панельный,18 018 600 
Вторичка,3-комн,Крылатское,10 мин. на транспорте,23,"99,8",,2002,,Панельный,17 465 000 
Вторичка,3-комн,Автозаводская,7 мин. пешком,4,90,Дизайнерский,2003,,,19 900 000 
Вторичка,1-комн,Битцевский парк,4 мин. на транспорте,2,33,Косметический,1977,,Монолитный,6 400 000 
Вторичка,3-комн,Лесопарковая,4 мин. пешком,13,74,Косметический,1992,,Панельный,9 900 000 
Вторичка,3-комн,Битцевский парк,4 мин. на транспорте,8,"59,3",Косметический,1978,,Монолитный,9 200 000 
Вторичка,1-комн,Полянка,4 мин. пешком,2,36,Дизайнерский,1971,,Блочный,13 500 000 
Вторичка,3-комн,Варшавская,5 мин. пешком,6,76,Евроремонт,2003,,Панельный,15 600 000 
Вторичка,1-комн,Люблино,<1 мин. на транспорте,4,"38,7",Косметический,2003,,Панельный,6 390 000 
Новостройка Апартаменты,3-комн,Белорусская,14 мин. пешком,3,94,,,2020,,22 792 500 
Вторичка,3-комн,Чкаловская,,5,158,Дизайнерский,2009,,Монолитный,115 000 000 
Вторичка,4-комн,Аннино,5 мин. пешком,19,"106,5",Без ремонта,,,Монолитный,17 550 000 
Вторичка,1-комн,Трубная,5 мин. пешком,4,"88,2",Дизайнерский,1888,,Кирпичный,31 000 000 
Вторичка,1-комн,Академическая,15 мин. пешком,6,54,Евроремонт,1957,,Кирпичный,19 500 000 
